# generated by extract/src/build_backfill.py at 2026-06-04T13:42:17+00:00
match_doi,match_title,match_year,doi,abstract,source,title_sim
,Exploring the geographic consequences of public policies using evolutionary algorithms,2004,10.1111/j.1467-8306.2004.00437.x,"Public policies with geographical consequences are often difficult to analyze because they affect multiple stakeholders with competing objectives. While such problems fall conceptually into the domain of multiobjective evaluation, associated analytical techniques often search for a single optimum solution. Within the context of geographical problems, optimality often means different things to different stakeholders and, thus, an optimum optimorum may not exist. In this article, we present a new technique based on an evolutionary algorithm (EA) that produces a large number of optimal and near‐optimal solutions to a large class of land management problems. As implemented for this article, solutions represent landscape patterns that produce services that meet stakeholder needs to varying degrees. The construction of curves that illustrate the trade‐offs among various services given limited resources is central to this approach. Decision makers can use these curves to help find solutions that strike a balance among conflicting objectives and, thus, meet stakeholder needs. To provide context to this work we consider the impact of the U.S. Department of Agriculture's (USDA) Conservation Reserve Program on rural landscapes. Three objectives are assumed: (1) maximize farm income, (2) maximize environmental quality, (3) minimize public investment in conservation programs; the first two are viewed as services desired by stakeholders. Analytical and visualization tools are developed to reduce the burden associated with exploring the large number of solutions that are produced by this technique. The results illustrate that the EA‐based approach can produce results equal to and significantly more diverse than conventional integer programming techniques.",openalex_title_search,1.000
,"LANDSCAPE, SYSTEM, AND IDENTITY IN THE POSTCONQUEST ANDES",1992,10.1111/j.1467-8306.1992.tb01970.x,"Abstract This article synthesizes the broad impact of Spanish introductions in the New World for the Central Andes (Peru, Ecuador, and Bolivia). Beginning in 1531, the Spaniards brought, from Iberia and Middle America, material elements of their culture which in time were acquired by native people through both imposition and free choice. Plants, animals, and tools were selectively integrated into native agropastoral systems and architectural elements into settlement patterns. Of the screens that filtered the array of Old World rural traits, keeping some out, permitting others to successfully pass and be adopted, the most significant were conditions that the highland environment imposed and competition from existing elements of the already well-developed Andean agricultural complex. Depopulation disrupted the native agroecosystem, and in the restructuring that followed, European goods and practices were adopted along with the indigenous. About a dozen crop introductions became important among peasants out of a total list three times that long, but European domesticated animals contributed most saliently to peasant livelihoods. These Old World biotic contributions juxtaposed with the native elements into a complex that crystallized between 1550–1650. With house types, building materials, and settlement pattern, the two traditions melded. Much of the Central Andes since then has changed relatively little.",manual_override,1.000
,Spatial convergence and spillovers in American invention,2005,10.1111/j.1467-8306.2005.00491.x,"Abstract Endogenous growth theory places spatial knowledge spillovers at the center of national technological progress. Advances in spatial autocorrelation and regression analyses provide methods to assess the influence of these spillovers on the geographical distribution and growth of invention. This article investigates interstate inequality and convergence in per capita patenting in the United States in the period 1963–2003. We analyze both the complete forty years and trends in ten-year intervals. Moran's I reveals spatial dependence in patenting levels and growth, and LISA cluster maps identify regional groupings of leading and trailing states. Our regression results show that both regional effects and spatial spillovers influence convergence rates, which were low and steady in the thirty years before 1993. In the subsequent decade, patenting expansion concentrated in a few states, inequality increased, and divergence ensued. Western states, in general, and the Pacific Northwest, in particular, increasingly dominate patent growth. Rank order correlation analyses show that convergence before 1993 was driven by catch-up and not by leapfrogging. A final regression analysis shows that patent growth rates in the 1993–2003 interval were higher in more rural states and in those with high proportions of payrolls generated by high-technology manufacturing and producer services industries. States in the South significantly lagged. Our results support the hypothesis that creative skilled professionals seek to reside in states that offer both well-paying jobs in high-technology manufacturing and producer services sectors and easy access to rural outdoor recreation and leisure amenities.",openalex_title_search,1.000
10.2307/214623,,1986,,This study examines twenty-three variables for 388 Indian districts with data segregated by sex and grouped in urban and rural categories. Variables strongly correlating with urban districts include high female/male ratio population density female literacy and household workers. A model shows a rural-urban,openalex_abstract,
10.2307/3250830,,2001,,"Reports on doctoral fieldwork investigating NGO-sponsored programs to reduce conflicts around Muraviovka Nature Park in Amur Province, Russia — the first private nature reserve created in post-Soviet Russia, established in 1992 in a strategic, militarized border region near China. Reflects on the methodological challenges of conducting research in rural Russia where heavy alcohol consumption shapes the reliability of interviews about poaching and resistance to the park. Examines how environmental education programs, jointly run by local teachers and visiting Americans, have shifted local attitudes toward the park despite widespread suspicion of foreign motives and accusations of having 'sold out the motherland.'",manual_abstract,
10.1111/j.1467-8306.1991.tb01706.x,,1991,,"Abstract The unity between production and social reproduction is under constant threat of dissolution. The practices by which it is maintained or threatened are the stuff of everyday life, and can be witnessed on the ground. A key practice of social reproduction is the socialization and education of children. This piece presents detailed findings on various practices of social reproduction—the production, exchange, and deployment of environmental knowledge—and points to the transformative potential inherent in the mundane practices of work, play, and learning. The village of Howa in Sudan has been incorporated within a state-sponsored agricultural development project and the content, mode of acquisition and utility of children's environmental knowledge has thereby changed dramatically. In addressing these, my larger research goal is to locate instances of rupture, resistance, or reformulation in the face of socioeconomic and cultural-ecological change imposed externally. The study employs ethnographic methods to elicit information on the content and organization of children's environmental knowledge and the means of its acquisition and use. Children contribute significantly to all environmental tasks associated with providing or producing household subsistence. In their work, play, and formal learning activities, they acquire, integrate, and use a substantial body of environmental knowledge, including knowledge of agriculture, animal husbandry, and the use of local resources. The socioeconomic processes of differentiation and commoditization associated with inclusion in the agricultural project increased demands for children's labor and began to dissolve the existing unity of work and play, to dislodge the home as the locus of social reproduction, and to deskill the peasant population. Coupled with static land tenure relations, these changes are likely to lead to significant disjuncture between what children learn and what they will do as adults. The trajectory of economic development may thereby also be altered. Key Words: childrenSudanenvironmental knowledgesocial reproductionhousehold laborsocioeconomic change",openalex_abstract,
10.1111/j.0033-0124.1988.00202.x,,1988,,"A preliminary analysis of the primary health care delivery component of a small rural development project in Deurali, Nepal, suggests that personal relations between project personnel and their target population (e.g., implementors'sincerity and commitment to service) can overcome many cultural, geographical, and class-related social barriers to achieving project objectives. The Deurali medical staff's ability to combine their technical skills with sincerity, hard work, and commitment has made the Deurali project reasonably successful in meeting villagers'primary health care needs.",openalex_abstract,
10.1111/j.1467-8306.1989.tb00263.x,,1989,,"Abstract Economic reform and restructuring in China have resulted in substantial changes in how farmers earn their livings and how much they earn. Based on a neoclassical model of economic development and structural change as interpreted by Oshima (1983) for East Asia, we hypothesize that farmers in Jiangsu Province earn greater incomes from off-farm jobs associated with nearby cities and urban market centers. This income pattern, we believe, results in distinctive household types associated with specific employment and economic activities of family members and reflects a sequence of change in the farm economy suggestive in part of the farm evolution model posed by Weitz (1971). A 167-farm-family sample was surveyed in four agricultural regions in Jiangsu in 1986–87. Sample data identified sources of family income and determined the significance of activity types and proximity to cities for family income. Variables of income, farm, and family size were cross-correlated to determine those with the most significant effects on total family income. Using principal components analysis and cluster analysis, we identified three household types based on income sources: traditional agricultural, mixed, and industrially focused. Farmers closest to the large city of Suzhou were the most prosperous, with incomes derived largely from industrial employment, while farmers in more remote locations appeared most traditional, earning a larger share of their income from field cultivation. While location is believed significant in the processes of economic change, its role cannot be specified based on currently available data.",openalex_abstract,
10.2307/3250862,,2000,,"Revisits John Fraser Hart and Ennis Chestang's 1978 claim of a 'rural revolution' in eastern North Carolina, in which mechanization of flue-cured tobacco production released a large agricultural labor force that in turn attracted decentralized manufacturing into the Coastal Plain. Tracks whether the reconfiguration of the thirty-eight rural counties of the Coastal Plain into an industry-based economy continued through the 1980s and 1990s, and finds that the hard-earned manufacturing gains of the early 1990s have been eroded by post-Fordist globalization — particularly in textiles and apparel — as American blue-collar workers increasingly compete with cheaper overseas labor.",manual_abstract,
10.1111/j.0033-0124.1990.00471.x,,1990,,"Specifying the location of a rural residence is a common geographic problem. Most addressing systems are designed for urban areas and are not applicable to rural areas. The mile marker addressing system meets all of the requirements for a rural addressing system. With the addition of computer mapping techniques, rural addressing can be done efficiently and can provide the basis for a county's computer mapping system. Projects in New Mexico provide several examples of computerized rural addressing projects.",openalex_abstract,
10.1111/j.1467-8306.1989.tb00273.x,,1989,,"ABSTRACT The European colonization of rural North America and its resultant mosaic of cultures and ethnicity provided a rich subject material for historical geographers. Seven descriptive themes and concepts—region, diffusion, landscape, first effective settlement, simplification, environmental perception, and humans as modifiers of the earth—have traditionally been employed by geographers in their study of rural Euroamericans, providing an impressive empirical body of knowledge upon which to base our causal analyses. Seeking explanation, we began assertively as environmental determinists, subsequently moving to economic and cultural determinism. Few sought holistic explanations. It is here suggested that cultural ecology, and in particular the concept of preadaptation, offers an additional, potent, but largely unused explanatory device for the interpretation of overseas European farm settlement. If used in conjunction with economic and cultural determinism, preadaptation can contribute to our explanatory ability. Key Words: adapatationcultural ecologydiffusionenvironmental perceptionEuropeans overseashistorical geographyhuman modification of the earthlandscapeNorth Americapreadaptationregion",openalex_abstract,
10.1111/j.0033-0124.1986.00343.x,,1986,,"Landowners can choose either to sell or to hold their land in areas with active rural land markets. Sellers and nonsellers are both important because their decisions shape patterns of land use. Analysis of mail survey data from 286 landowners in the Rochester, MN SMSA isolates four characteristics that distinguish sellers from nonsellers: occupation, size of landholding, recent acquisition of land, and interest in selling land. Nonsellers are often farmers with a large landholding and no interest in selling. More information is needed about their non-economic motives for holding land.",openalex_abstract,
10.1111/j.0033-0124.1987.00275.x,,1987,,"Given steadily increasing federal expenditures to manage surplus crop production, it would seem to make economic and environmental sense to concentrate production on the best acreage and to retire marginal crop acreage to alternate uses. A major obstacle constraining adoption and implementation of cropland retirement programs in the past has been the fear that cropland retirement threatens the viability of rural communities. Regression of change in population and retail establishments on changes in farm structure, nonfarm employment, and agricultural land-use in the rural Southern Plains between 1930 and 1970 provides only weak evidence to support this fear. In fact, short-term cropland idling under post-1960 price-support programs appears to pose more of a threat to rural communities than does cropland retirement.",openalex_abstract,
